ECON INL FW PRESS;DRUM PRESS;MN STM PRESS;CRH STM PRESS;HRH STM PRESS;COND VAC WIDE;ECON INL FW TEMP;MN STM TEMP;CRH STM TEMP;HRH STM TEMP;COND INL CW TEMP;COND  OUTL CW TEMP;AHTR PA OUT TEMP ;AHTR OUTL SECA TEMP ;AHTR OUT FG TEMP ;AHTR B OUT FG TEMP 4;PULV  INL PA TEMP;PULV  OUTL COAL/AIR TEMP;MAIN SPRY WTR FLOW;MN STM FLOW;RHR ATM SPRY WTR FLOW;TOT AIR FLOW FD FAN;TOTAL PA Flow;TOT COAL FLOW;GEN OUT MW;FGD SYS INLET NOX;FGD SYS INLET SOX;FGD SYS OUTLET SOX;A/H Outlet O2;Eff Thermal
191.589;186.771;168.691;38.264;36.243;-0.916;288.095;537.125;332.656;535.807;30.000;38.000;345.500;349.503;157.250;155.250;279.319;70.537;171.067;2152.950;4.829;2178.656;511.271;306.275;711.046;646.144;1782.603;596.684;2.698;35.770
191.703;186.916;168.748;38.264;36.281;-0.916;288.095;537.125;332.656;535.219;30.000;38.000;345.500;349.563;157.130;155.250;279.280;70.537;169.980;2156.366;4.996;2181.751;511.384;305.914;710.443;649.194;1781.813;595.265;2.726;35.843
191.411;186.637;168.546;38.264;36.281;-0.916;288.107;536.812;332.656;535.219;30.000;38.000;345.500;349.563;157.244;155.250;279.033;70.537;167.159;2154.224;5.051;2175.739;508.281;305.994;709.597;647.041;1794.769;600.589;2.800;35.801
191.027;186.305;168.292;38.264;36.281;-0.915;288.188;536.077;332.256;535.136;30.000;38.000;345.500;349.563;157.250;155.250;278.654;70.537;165.824;2151.106;4.825;2176.240;507.170;306.069;709.559;639.771;1779.834;603.309;2.800;35.732
190.763;186.071;167.921;38.264;36.281;-0.915;288.188;535.813;332.031;534.882;30.000;38.000;345.338;349.773;157.250;155.250;278.769;70.519;163.764;2148.529;4.981;2177.442;510.514;305.908;710.379;639.524;1778.736;598.544;2.807;35.705
190.562;185.993;167.775;38.264;36.234;-0.915;288.188;536.451;332.407;535.377;30.000;38.000;345.250;349.781;157.414;155.144;279.469;70.500;163.512;2144.949;5.353;2179.366;511.001;305.997;711.346;644.326;1778.217;594.972;2.738;35.668
190.313;185.617;167.609;38.217;36.221;-0.915;288.188;538.188;333.472;535.966;30.000;38.000;345.250;349.781;157.456;154.750;279.303;70.593;168.813;2140.882;5.545;2180.020;509.597;306.025;711.995;646.283;1780.598;594.207;2.779;35.634
190.085;185.393;167.563;38.162;36.150;-0.915;288.181;538.625;334.305;536.215;30.000;38.000;345.250;349.781;157.259;154.750;278.718;70.650;171.072;2140.906;5.347;2179.801;508.367;306.229;712.943;644.769;1786.834;600.108;2.756;35.568
190.085;185.393;167.453;38.162;36.111;-0.916;288.137;538.757;334.454;536.271;30.000;38.000;345.250;349.808;157.250;154.750;278.252;70.650;171.157;2140.243;5.096;2181.465;510.530;306.190;713.505;643.633;1783.337;603.378;2.814;35.571
190.247;185.565;167.638;38.162;36.111;-0.916;288.137;538.250;333.906;536.622;30.000;38.000;345.563;350.000;157.250;154.634;278.346;70.650;169.555;2141.269;5.177;2180.725;511.325;306.341;713.363;645.323;1771.651;596.456;2.809;35.594
